"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13"
"LeBron James_CLE",NA,58,NA,59,NA,55.5,44.75,NA,69.75,64.75,NA
"Kevin Durant_GS",0,NA,47.75,NA,45.5,NA,38.25,NA,72.25,NA,NA
"Kristaps Porzingis_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA
"Andre Drummond_DET",NA,NA,35.25,NA,55.75,49.75,41.25,NA,62,23,NA
"Stephen Curry_GS",0,NA,43.75,NA,52.5,NA,58.75,NA,0,NA,NA
"Karl-Anthony Towns_MIN",NA,43.75,27,NA,39.75,NA,27.75,NA,53.5,57,NA
"Jimmy Butler_MIN",NA,45.25,30,NA,45.25,NA,48,NA,40.5,53,NA
"Kevin Love_CLE",NA,56.75,NA,49,NA,39.25,45.25,NA,38.75,37.5,NA
"Draymond Green_GS",34,NA,50.25,NA,41.25,NA,53.25,NA,0,NA,NA
"Dennis Schroder_ATL",NA,NA,NA,36.5,NA,38.75,31.25,NA,46.25,23.75,NA
"Lonzo Ball_LAL",20.75,NA,36.5,NA,NA,29.75,NA,NA,NA,43,NA
"Klay Thompson_GS",36.25,NA,28.75,NA,39.75,NA,31.25,NA,32,NA,NA
"D'Angelo Russell_BKN",NA,NA,0,NA,NA,0,0,NA,NA,0,NA
"Zach Randolph_SAC",23,18.75,NA,NA,48.75,33.25,NA,NA,48,34.75,NA
"Harrison Barnes_DAL",NA,NA,39.5,NA,NA,23.5,40.5,NA,32.25,30.5,NA
"Spencer Dinwiddie_BKN",NA,NA,34.25,NA,NA,42,29.75,NA,NA,43,NA
"Enes Kanter_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA
"Brandon Ingram_LAL",24.75,NA,50.25,NA,NA,24.5,NA,NA,NA,22.75,NA
"Isaiah Thomas_CLE",NA,0,NA,0,NA,0,0,NA,0,0,NA
"Jeff Teague_MIN",NA,0,0,NA,31.25,NA,15.25,NA,35.75,23.75,NA
"Tobias Harris_DET",NA,NA,31.25,NA,20,39.25,26.25,NA,34.25,13.5,NA
"Tim Hardaway_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA
"Andrew Wiggins_MIN",NA,23.5,48,NA,33.75,NA,21.25,NA,20.5,37.75,NA
"Rondae Hollis-Jefferson_BKN",NA,NA,0,NA,NA,18,37.5,NA,NA,36,NA
"Kentavious Caldwell-Pope_LAL",46,NA,31.75,NA,NA,13,NA,NA,NA,41,NA
"Taj Gibson_MIN",NA,32.25,31,NA,16,NA,27.75,NA,43.5,32.5,NA
"Reggie Jackson_DET",NA,NA,34.75,NA,16.5,33.75,38,NA,25.75,21.5,NA
"Kent Bazemore_ATL",NA,NA,NA,23,NA,22,21.25,NA,23,47,NA
"Taurean Prince_ATL",NA,NA,NA,20.5,NA,24,19,NA,29.5,41.75,NA
"JJ Barea_DAL",NA,NA,0,NA,NA,0,0,NA,0,0,NA
"John Collins_ATL",NA,NA,NA,27.75,NA,0,0,NA,0,0,NA
"Courtney Lee_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA
"Kyle Kuzma_LAL",22,NA,0,NA,NA,29,NA,NA,NA,33.5,NA
"Caris LeVert_BKN",NA,NA,31,NA,NA,15.25,33.5,NA,NA,31.25,NA
"Ersan Ilyasova_ATL",NA,NA,NA,37.25,NA,24.25,15.5,NA,26.75,14.5,NA
"DeMarre Carroll_BKN",NA,NA,33.25,NA,NA,28.5,29,NA,NA,29,NA
"Dwyane Wade_CLE",NA,32.75,NA,38.5,NA,29.5,35,NA,15.25,0,NA
"Dewayne Dedmon_ATL",NA,NA,NA,0,NA,0,0,NA,0,0,NA
"Buddy Hield_SAC",6.75,17.5,NA,NA,1.5,36,NA,NA,34,17.5,NA
"Avery Bradley_DET",NA,NA,26,NA,25.5,10.5,9.25,NA,27.25,7.25,NA
"Julius Randle_LAL",16.75,NA,29.5,NA,NA,26.5,NA,NA,NA,21.5,NA
"Willie Cauley-Stein_SAC",43,23.5,NA,NA,28.75,5,NA,NA,0,23.5,NA
"Jordan Clarkson_LAL",34,NA,41,NA,NA,21.75,NA,NA,NA,24,NA
"Dennis Smith_DAL",NA,NA,16,NA,NA,24.25,30.25,NA,25,0,NA
"Brook Lopez_LAL",11.75,NA,11.75,NA,NA,27.75,NA,NA,NA,24.5,NA
